Player,Year,Share
Paulo Dybala,17.0,0.0082
Pepe,16.0,0.0051
Phil Foden,21.0,0.0007
Phil Foden,22.0,0.0
Philipp Lahm,10.0,0.0005
Philipp Lahm,13.0,0.0082
Philipp Lahm,14.0,0.029
Pierre-Emerick Aubameyang,16.0,0.0045
Pierre-Emerick Aubameyang,17.0,0.005
Radamel Falcao,12.0,0.0367
Radamel Falcao,13.0,0.0108
Radamel Falcao,17.0,0.0032
Rafael Leão,22.0,0.0013
Randal Kolo Muani,23.0,0.0
Raphaël Varane,18.0,0.042
Riyad Mahrez,19.0,0.0117
Riyad Mahrez,21.0,0.0026
Riyad Mahrez,22.0,0.0027
Robert Lewandowski,13.0,0.0092
Robert Lewandowski,15.0,0.042
Robert Lewandowski,16.0,0.0019
Robert Lewandowski,17.0,0.016
Robert Lewandowski,19.0,0.0156
Robert Lewandowski,21.0,0.2132
Robert Lewandowski,22.0,0.1142
Robert Lewandowski,23.0,0.0082
Roberto Firmino,18.0,0.0014
Robin van Persie,12.0,0.0145
Robin van Persie,13.0,0.0179
Rodri,23.0,0.0387
Rui Patrício,16.0,0.0039
Ruud van Nistelrooy,8.0,0.0014
Ryan Giggs,9.0,0.0076
Rúben Dias,21.0,0.0008
Rúben Dias,23.0,0.0
Sadio Mané,18.0,0.001
Sadio Mané,19.0,0.1232
Sadio Mané,22.0,0.1297
Samuel Eto'o,8.0,0.0042
Samuel Eto'o,9.0,0.0521
Samuel Eto'o,10.0,0.0137
Samuel Eto'o,11.0,0.0134
Sergio Agüero,8.0,0.0069
Sergio Agüero,11.0,0.0048
Sergio Agüero,12.0,0.003
Sergio Agüero,15.0,0.0083
Sergio Agüero,16.0,0.0
Sergio Agüero,18.0,0.0024
Sergio Agüero,19.0,0.0043
Sergio Busquets,12.0,0.002
Sergio Ramos,8.0,0.0021
Sergio Ramos,12.0,0.0022
Sergio Ramos,14.0,0.0033
Sergio Ramos,16.0,0.0
Sergio Ramos,17.0,0.0252
Sergio Ramos,18.0,0.0014
Son Heung-min,19.0,0.0014
Son Heung-min,22.0,0.0034
Steven Gerrard,8.0,0.0194
Steven Gerrard,9.0,0.0222
Sébastien Haller,22.0,0.0013
Thiago Silva,13.0,0.0024
Thibaut Courtois,14.0,0.0051
Thibaut Courtois,18.0,0.0042
Thibaut Courtois,22.0,0.0551
Thierry Henry,9.0,0.0063
Thomas Müller,10.0,0.0091
Thomas Müller,11.0,0.0064
Thomas Müller,13.0,0.0043
Thomas Müller,14.0,0.0542
Thomas Müller,15.0,0.0217
Thomas Müller,16.0,0.0
Toni Kroos,14.0,0.0143
Toni Kroos,15.0,0.0029
Toni Kroos,16.0,0.0006
Toni Kroos,17.0,0.0071
Trent Alexander-Arnold,19.0,0.0028
Trent Alexander-Arnold,22.0,0.0
Victor Osimhen,23.0,0.0163
Vinícius Júnior,22.0,0.041
Vinícius Júnior,23.0,0.0333
Virgil van Dijk,19.0,0.2411
Virgil van Dijk,22.0,0.0007
Wayne Rooney,8.0,0.0076
Wayne Rooney,9.0,0.0243
Wayne Rooney,11.0,0.0231
Wayne Rooney,12.0,0.0039
Wesley Sneijder,10.0,0.1447
Wesley Sneijder,11.0,0.0072
Xabi Alonso,10.0,0.0152
Xabi Alonso,11.0,0.0048
Xabi Alonso,12.0,0.0109
Xavi,8.0,0.0674
Xavi,9.0,0.1181
Xavi,10.0,0.1648
Xavi,11.0,0.0923
Xavi,12.0,0.0408
Xavi,13.0,0.0081
Yassine Bounou,23.0,0.0068
Yaya Touré,9.0,0.0007
Yaya Touré,12.0,0.0076
Yaya Touré,13.0,0.0099
Yaya Touré,14.0,0.0086
Yaya Touré,15.0,0.0085
Yoann Gourcuff,9.0,0.0042
Zlatan Ibrahimović,8.0,0.0208
Zlatan Ibrahimović,9.0,0.0347
Zlatan Ibrahimović,12.0,0.0124
Zlatan Ibrahimović,13.0,0.0529
Zlatan Ibrahimović,14.0,0.01
Zlatan Ibrahimović,15.0,0.0105
Zlatan Ibrahimović,16.0,0.0032
Ángel Di María,14.0,0.0129
Éric Abidal,11.0,0.0036
İlkay Gündoğan,23.0,0.0054
