Season,Competition,Club,Appearances,Goals,Assists,Yellow cards,Sesond yellow cards,Red cards,Minutes played,Player,Second yellow cards,Goals conceded,Clean sheets
15/16,Champions League,Paris Saint-Germain,9,-,-,1,-,-,810,Thiago Silva,,,
14/15,Champions League,Paris Saint-Germain,6,1,-,-,-,-,501,Thiago Silva,,,
13/14,Champions League,Paris Saint-Germain,7,-,-,-,-,-,568,Thiago Silva,,,
12/13,Champions League,Paris Saint-Germain,9,2,-,3,-,-,801,Thiago Silva,,,
11/12,Champions League,AC Milan,7,1,-,-,-,-,590,Thiago Silva,,,
10/11,Champions League,AC Milan,6,-,-,-,-,-,540,Thiago Silva,,,
09/10,Champions League,AC Milan,7,-,-,-,-,-,560,Thiago Silva,,,
2008,Libertadores,Fluminense Football Club,12,3,-,2,-,-,1067,Thiago Silva,,,
2006,Copa Sudamericana,Fluminense Football Club,4,-,-,-,-,-,390,Thiago Silva,,,
22/23,Champions League,Real Madrid,3,1,1,-,-,-,131,Eden Hazard,,,
22/23,UEFA Super Cup,Real Madrid,-,-,-,-,-,-,-,Eden Hazard,,,
21/22,Champions League,Real Madrid,3,-,-,-,-,-,83,Eden Hazard,,,
20/21,Champions League,Real Madrid,5,1,-,-,-,-,275,Eden Hazard,,,
19/20,Champions League,Real Madrid,6,-,1,1,-,-,459,Eden Hazard,,,
18/19,Europa League,Chelsea FC,8,2,2,-,-,-,451,Eden Hazard,,,
17/18,Champions League,Chelsea FC,8,3,4,-,-,-,611,Eden Hazard,,,
15/16,Champions League,Chelsea FC,8,-,1,-,-,-,524,Eden Hazard,,,
14/15,Champions League,Chelsea FC,7,3,3,1,-,-,654,Eden Hazard,,,
13/14,Champions League,Chelsea FC,9,2,-,-,-,-,681,Eden Hazard,,,
13/14,UEFA Super Cup,Chelsea FC,1,1,-,-,-,-,113,Eden Hazard,,,
12/13,Europa League,Chelsea FC,7,1,2,-,-,-,448,Eden Hazard,,,
12/13,Club World Cup,Chelsea FC,2,-,1,-,-,-,177,Eden Hazard,,,
12/13,Champions League,Chelsea FC,6,-,3,-,-,-,457,Eden Hazard,,,
12/13,UEFA Super Cup,Chelsea FC,1,-,-,-,-,-,90,Eden Hazard,,,
11/12,Champions League,LOSC Lille,6,-,2,1,-,-,540,Eden Hazard,,,
10/11,Europa League,LOSC Lille,7,-,1,-,-,-,384,Eden Hazard,,,
10/11,Europa League Qualifying,LOSC Lille,2,-,1,-,-,-,103,Eden Hazard,,,
09/10,Europa League,LOSC Lille,9,2,3,1,-,-,658,Eden Hazard,,,
09/10,Europa League Qualifying,LOSC Lille,3,2,-,-,-,-,169,Eden Hazard,,,
2023,Copa Sudamericana,São Paulo Futebol Clube,2,-,1,-,-,-,66,James Rodríguez,,,
19/20,Champions League,Real Madrid,2,-,-,-,-,-,81,James Rodríguez,,,
18/19,Champions League,Bayern Munich,5,-,1,1,-,-,337,James Rodríguez,,,
17/18,Champions League,Bayern Munich,12,1,2,1,-,-,778,James Rodríguez,,,
16/17,Champions League,Real Madrid,6,-,2,-,-,-,318,James Rodríguez,,,
16/17,Club World Cup,Real Madrid,1,-,1,-,-,-,18,James Rodríguez,,,
16/17,UEFA Super Cup,Real Madrid,1,-,-,1,-,-,48,James Rodríguez,,,
15/16,Champions League,Real Madrid,5,1,-,-,-,-,264,James Rodríguez,,,
14/15,Champions League,Real Madrid,9,1,3,3,-,-,704,James Rodríguez,,,
14/15,Club World Cup,Real Madrid,1,-,-,-,-,-,90,James Rodríguez,,,
14/15,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,72,James Rodríguez,,,
12/13,Champions League,FC Porto,8,1,1,1,-,-,614,James Rodríguez,,,
11/12,Europa League,FC Porto,2,-,-,-,-,-,171,James Rodríguez,,,
11/12,Champions League,FC Porto,6,1,2,2,-,-,406,James Rodríguez,,,
10/11,Europa League,FC Porto,9,1,5,1,-,-,370,James Rodríguez,,,
2010,Libertadores,CA Banfield,8,5,1,2,1,-,694,James Rodríguez,,,
23/24,Champions League,Real Madrid,5,-,-,-,-,-,313,Toni Kroos,,,
22/23,Champions League,Real Madrid,12,-,2,2,-,-,846,Toni Kroos,,,
22/23,Club World Cup,Real Madrid,2,-,-,-,-,-,151,Toni Kroos,,,
22/23,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,85,Toni Kroos,,,
21/22,Champions League,Real Madrid,12,2,-,-,-,-,902,Toni Kroos,,,
20/21,Champions League,Real Madrid,12,-,2,3,-,-,961,Toni Kroos,,,
19/20,Champions League,Real Madrid,6,1,2,1,-,-,540,Toni Kroos,,,
18/19,Champions League,Real Madrid,8,1,2,1,-,-,645,Toni Kroos,,,
18/19,Club World Cup,Real Madrid,2,-,-,-,-,-,160,Toni Kroos,,,
18/19,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,102,Toni Kroos,,,
17/18,Champions League,Real Madrid,12,-,3,-,-,-,952,Toni Kroos,,,
17/18,Club World Cup,Real Madrid,1,-,-,-,-,-,90,Toni Kroos,,,
17/18,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,90,Toni Kroos,,,
16/17,Champions League,Real Madrid,12,1,1,3,-,-,1028,Toni Kroos,,,
16/17,Club World Cup,Real Madrid,2,-,2,-,-,-,192,Toni Kroos,,,
15/16,Champions League,Real Madrid,12,-,2,-,-,-,996,Toni Kroos,,,
14/15,Champions League,Real Madrid,12,-,3,2,-,-,968,Toni Kroos,,,
14/15,Club World Cup,Real Madrid,2,-,2,-,-,-,163,Toni Kroos,,,
14/15,UEFA Super Cup,Real Madrid,1,-,-,1,-,-,90,Toni Kroos,,,
13/14,Champions League,Bayern Munich,12,1,2,1,-,-,986,Toni Kroos,,,
13/14,Club World Cup,Bayern Munich,2,-,-,-,-,-,118,Toni Kroos,,,
13/14,UEFA Super Cup,Bayern Munich,1,-,1,-,-,-,120,Toni Kroos,,,
12/13,Champions League,Bayern Munich,9,3,-,-,-,-,590,Toni Kroos,,,
11/12,Champions League,Bayern Munich,12,2,8,2,-,-,1073,Toni Kroos,,,
11/12,Champions League Qu.,Bayern Munich,2,-,-,-,-,-,121,Toni Kroos,,,
10/11,Champions League,Bayern Munich,7,-,2,2,-,-,484,Toni Kroos,,,
08/09,Champions League,Bayern Munich,1,-,-,-,-,-,11,Toni Kroos,,,
07/08,UEFA Cup,Bayern Munich,6,1,2,1,-,-,174,Toni Kroos,,,
23/24,Champions League,SL Benfica,5,1,1,-,-,-,416,Ángel Di María,,,
22/23,Europa League,Juventus FC,7,4,-,-,-,-,555,Ángel Di María,,,
22/23,Champions League,Juventus FC,3,-,3,-,-,-,146,Ángel Di María,,,
21/22,Champions League,Paris Saint-Germain,5,-,1,-,-,-,261,Ángel Di María,,,
20/21,Champions League,Paris Saint-Germain,10,1,5,-,-,1,696,Ángel Di María,,,
19/20,Champions League,Paris Saint-Germain,9,3,7,3,-,-,750,Ángel Di María,,,
18/19,Champions League,Paris Saint-Germain,8,2,3,1,-,-,661,Ángel Di María,,,
17/18,Champions League,Paris Saint-Germain,5,1,1,-,-,-,143,Ángel Di María,,,
16/17,Champions League,Paris Saint-Germain,7,4,1,-,-,-,540,Ángel Di María,,,
15/16,Champions League,Paris Saint-Germain,10,3,3,-,-,-,766,Ángel Di María,,,
14/15,UEFA Super Cup,Real Madrid,-,-,-,-,-,-,-,Ángel Di María,,,
13/14,Champions League,Real Madrid,11,3,6,1,-,-,822,Ángel Di María,,,
12/13,Champions League,Real Madrid,11,-,4,-,-,-,797,Ángel Di María,,,
11/12,Champions League,Real Madrid,7,2,1,1,-,-,455,Ángel Di María,,,
10/11,Champions League,Real Madrid,10,3,3,2,-,-,722,Ángel Di María,,,
09/10,Europa League,SL Benfica,12,3,6,1,-,-,972,Ángel Di María,,,
09/10,Europa League Qualifying,SL Benfica,2,1,-,-,-,-,117,Ángel Di María,,,
08/09,UEFA Cup,SL Benfica,5,1,-,2,-,-,341,Ángel Di María,,,
07/08,UEFA Cup,SL Benfica,4,1,-,-,-,-,133,Ángel Di María,,,
07/08,Champions League,SL Benfica,6,-,1,1,-,-,292,Ángel Di María,,,
07/08,Champions League Qu.,SL Benfica,1,-,-,-,-,-,73,Ángel Di María,,,
2006,Libertadores,CA Rosario Central,4,-,-,-,-,-,101,Ángel Di María,,,
2023,Copa Sudamericana,Botafogo de Futebol e Regatas,2,-,-,1,-,-,134,Diego Costa,,,
2021,Libertadores,Clube Atlético Mineiro,1,-,-,-,-,-,55,Diego Costa,,,
19/20,Champions League,Atlético de Madrid,7,-,1,1,-,-,459,Diego Costa,,,
18/19,Champions League,Atlético de Madrid,4,1,1,3,-,-,307,Diego Costa,,,
18/19,UEFA Super Cup,Atlético de Madrid,1,2,-,1,-,-,109,Diego Costa,,,
17/18,Europa League,Atlético de Madrid,5,2,1,1,-,-,388,Diego Costa,,,
15/16,Champions League,Chelsea FC,8,2,3,1,-,-,663,Diego Costa,,,
14/15,Champions League,Chelsea FC,7,-,1,1,-,-,508,Diego Costa,,,
13/14,Champions League,Atlético de Madrid,9,8,1,2,-,-,580,Diego Costa,,,
12/13,Europa League,Atlético de Madrid,5,2,1,1,-,1,377,Diego Costa,,,
12/13,UEFA Super Cup,Atlético de Madrid,-,-,-,-,-,-,-,Diego Costa,,,
10/11,Europa League,Atlético de Madrid,6,1,-,-,-,-,354,Diego Costa,,,
10/11,UEFA Super Cup,Atlético de Madrid,-,-,-,-,-,-,-,Diego Costa,,,
06/07,UEFA Cup,SC Braga,2,1,-,1,-,-,40,Diego Costa,,,
23/24,Conference League,Eintracht Frankfurt,5,-,-,-,-,-,347,Mario Götze,,,
23/24,UECL Qualifiers,Eintracht Frankfurt,2,-,2,-,-,-,167,Mario Götze,,,
22/23,Champions League,Eintracht Frankfurt,7,-,2,2,-,-,524,Mario Götze,,,
22/23,UEFA Super Cup,Eintracht Frankfurt,1,-,-,-,-,-,32,Mario Götze,,,
21/22,Conference League,PSV Eindhoven,6,1,2,2,-,-,540,Mario Götze,,,
21/22,Europa League,PSV Eindhoven,5,1,3,1,-,-,421,Mario Götze,,,
21/22,Champions League Qu.,PSV Eindhoven,6,3,1,-,-,-,524,Mario Götze,,,
20/21,Europa League,PSV Eindhoven,6,1,-,1,-,-,469,Mario Götze,,,
19/20,Champions League,Borussia Dortmund,4,-,1,-,-,-,72,Mario Götze,,,
18/19,Champions League,Borussia Dortmund,6,-,-,-,-,-,437,Mario Götze,,,
17/18,Europa League,Borussia Dortmund,4,-,2,-,-,-,226,Mario Götze,,,
17/18,Champions League,Borussia Dortmund,5,-,1,-,-,-,370,Mario Götze,,,
16/17,Champions League,Borussia Dortmund,4,1,1,1,-,-,292,Mario Götze,,,
15/16,Champions League,Bayern Munich,4,2,-,-,-,-,105,Mario Götze,,,
14/15,Champions League,Bayern Munich,11,4,3,-,-,-,747,Mario Götze,,,
13/14,Champions League,Bayern Munich,11,3,1,-,-,-,531,Mario Götze,,,
13/14,Club World Cup,Bayern Munich,2,1,-,-,-,-,100,Mario Götze,,,
13/14,UEFA Super Cup,Bayern Munich,1,-,-,-,-,-,49,Mario Götze,,,
12/13,Champions League,Borussia Dortmund,11,2,8,1,-,-,884,Mario Götze,,,
11/12,Champions League,Borussia Dortmund,6,-,2,-,-,-,403,Mario Götze,,,
10/11,Europa League,Borussia Dortmund,4,2,-,-,-,-,311,Mario Götze,,,
10/11,Europa League Qualifying,Borussia Dortmund,2,-,1,-,-,-,70,Mario Götze,,,
17/18,Champions League,FC Barcelona,2,-,-,-,-,-,134,Javier Mascherano,,,
16/17,Champions League,FC Barcelona,8,-,-,1,-,-,642,Javier Mascherano,,,
15/16,Champions League,FC Barcelona,8,-,-,2,-,-,655,Javier Mascherano,,,
15/16,Club World Cup,FC Barcelona,2,-,-,-,-,-,171,Javier Mascherano,,,
15/16,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,93,Javier Mascherano,,,
14/15,Champions League,FC Barcelona,12,-,1,1,-,-,1079,Javier Mascherano,,,
13/14,Champions League,FC Barcelona,9,-,-,2,-,-,810,Javier Mascherano,,,
12/13,Champions League,FC Barcelona,8,-,-,3,-,-,612,Javier Mascherano,,,
11/12,Champions League,FC Barcelona,10,-,-,2,-,-,900,Javier Mascherano,,,
11/12,Club World Cup,FC Barcelona,2,-,-,1,-,-,124,Javier Mascherano,,,
11/12,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,90,Javier Mascherano,,,
10/11,Champions League,FC Barcelona,11,-,-,1,-,-,881,Javier Mascherano,,,
09/10,Europa League,Liverpool FC,8,1,-,2,-,-,740,Javier Mascherano,,,
09/10,Champions League,Liverpool FC,5,-,-,-,-,-,359,Javier Mascherano,,,
08/09,Champions League,Liverpool FC,8,-,1,3,-,-,686,Javier Mascherano,,,
07/08,Champions League,Liverpool FC,11,-,1,1,-,-,1004,Javier Mascherano,,,
07/08,Champions League Qu.,Liverpool FC,2,-,-,-,-,-,180,Javier Mascherano,,,
06/07,Champions League,Liverpool FC,4,-,-,3,-,-,376,Javier Mascherano,,,
06/07,UEFA Cup,West Ham United,2,-,-,-,-,-,158,Javier Mascherano,,,
2006,Libertadores,Sport Club Corinthians Paulista,5,-,-,1,1,-,427,Javier Mascherano,,,
2005,Libertadores,CA River Plate,11,1,-,2,-,-,944,Javier Mascherano,,,
2004,Copa Sudamericana,CA River Plate,1,-,-,-,-,-,17,Javier Mascherano,,,
2004,Libertadores,CA River Plate,10,-,-,4,-,-,882,Javier Mascherano,,,
2003,Copa Sudamericana,CA River Plate,3,-,-,1,-,-,199,Javier Mascherano,,,
22/23,Champions League,Real Madrid,10,-,,-,,-,900,Thibaut Courtois,-,11,5
22/23,UEFA Super Cup,Real Madrid,1,-,,-,,-,90,Thibaut Courtois,-,-,1
21/22,Champions League,Real Madrid,13,-,,-,,-,1230,Thibaut Courtois,-,14,5
20/21,Champions League,Real Madrid,12,-,,1,,-,1080,Thibaut Courtois,-,14,4
19/20,Champions League,Real Madrid,7,-,,1,,-,586,Thibaut Courtois,-,11,2
18/19,Champions League,Real Madrid,5,-,,-,,-,450,Thibaut Courtois,-,8,2
18/19,Club World Cup,Real Madrid,2,-,,-,,-,180,Thibaut Courtois,-,2,-
17/18,Champions League,Chelsea FC,8,-,,-,,-,720,Thibaut Courtois,-,12,2
15/16,Champions League,Chelsea FC,3,-,,-,,-,270,Thibaut Courtois,-,4,1
14/15,Champions League,Chelsea FC,5,-,,-,,-,480,Thibaut Courtois,-,4,2
13/14,Champions League,Atlético de Madrid,12,-,,-,,-,1110,Thibaut Courtois,-,10,5
12/13,Europa League,Atlético de Madrid,-,-,,-,,-,-,Thibaut Courtois,-,-,-
12/13,UEFA Super Cup,Atlético de Madrid,1,-,,-,,-,90,Thibaut Courtois,-,1,-
11/12,Europa League,Atlético de Madrid,14,-,,1,,-,1260,Thibaut Courtois,-,9,7
11/12,Europa League Qualifying,Atlético de Madrid,1,-,,-,,-,90,Thibaut Courtois,-,-,1
10/11,Europa League Qualifying,KRC Genk,3,-,,-,,-,270,Thibaut Courtois,-,6,-
09/10,Europa League Qualifying,KRC Genk,-,-,,-,,-,-,Thibaut Courtois,-,-,-
22/23,Europa League,Juventus FC,3,-,1,1,-,-,42,Paul Pogba,,,
21/22,Champions League,Manchester United,6,-,-,-,-,-,347,Paul Pogba,,,
20/21,Europa League,Manchester United,6,2,1,3,-,-,433,Paul Pogba,,,
20/21,Champions League,Manchester United,5,-,2,-,-,-,178,Paul Pogba,,,
19/20,Europa League,Manchester United,3,-,-,-,-,-,237,Paul Pogba,,,
18/19,Champions League,Manchester United,9,2,1,1,1,-,731,Paul Pogba,,,
17/18,Champions League,Manchester United,5,-,1,-,-,-,278,Paul Pogba,,,
17/18,UEFA Super Cup,Manchester United,1,-,-,-,-,-,90,Paul Pogba,,,
16/17,Europa League,Manchester United,15,3,1,2,-,-,1263,Paul Pogba,,,
15/16,Champions League,Juventus FC,8,1,2,-,-,-,750,Paul Pogba,,,
14/15,Champions League,Juventus FC,10,1,3,3,-,-,833,Paul Pogba,,,
13/14,Europa League,Juventus FC,8,1,1,1,-,-,517,Paul Pogba,,,
13/14,Champions League,Juventus FC,6,-,3,-,-,-,540,Paul Pogba,,,
12/13,Champions League,Juventus FC,8,-,-,1,-,-,337,Paul Pogba,,,
11/12,Europa League,Manchester United,1,-,-,1,-,-,27,Paul Pogba,,,
11/12,Champions League,Manchester United,-,-,-,-,-,-,-,Paul Pogba,,,
23/24,Champions League,Inter Milan,6,2,-,-,-,-,315,Alexis Sánchez,,,
22/23,Champions League,Olympique Marseille,5,2,-,-,-,-,419,Alexis Sánchez,,,
21/22,Champions League,Inter Milan,6,1,1,-,1,-,155,Alexis Sánchez,,,
20/21,Champions League,Inter Milan,5,-,-,-,-,-,119,Alexis Sánchez,,,
19/20,Europa League,Inter Milan,5,-,-,-,-,-,238,Alexis Sánchez,,,
19/20,Champions League,Inter Milan,1,-,1,1,-,-,66,Alexis Sánchez,,,
18/19,Champions League,Manchester United,4,-,-,-,-,-,206,Alexis Sánchez,,,
17/18,Champions League,Manchester United,2,-,-,1,-,-,165,Alexis Sánchez,,,
17/18,Europa League,Arsenal FC,1,1,-,-,-,-,90,Alexis Sánchez,,,
16/17,Champions League,Arsenal FC,8,3,4,1,-,-,665,Alexis Sánchez,,,
15/16,Champions League,Arsenal FC,7,3,5,2,-,-,630,Alexis Sánchez,,,
14/15,Champions League,Arsenal FC,7,3,1,1,-,-,602,Alexis Sánchez,,,
14/15,Champions League Qu.,Arsenal FC,2,1,-,-,-,-,162,Alexis Sánchez,,,
13/14,Champions League,FC Barcelona,9,-,1,3,-,-,467,Alexis Sánchez,,,
12/13,Champions League,FC Barcelona,9,1,3,1,-,-,519,Alexis Sánchez,,,
11/12,Champions League,FC Barcelona,6,2,-,-,-,-,356,Alexis Sánchez,,,
11/12,Club World Cup,FC Barcelona,1,-,-,-,-,-,51,Alexis Sánchez,,,
11/12,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,29,Alexis Sánchez,,,
08/09,UEFA Cup,Udinese Calcio,9,-,-,3,-,-,557,Alexis Sánchez,,,
2008,Libertadores,CA River Plate,7,-,-,3,-,-,391,Alexis Sánchez,,,
2007,Copa Sudamericana,CA River Plate,1,-,-,-,-,-,90,Alexis Sánchez,,,
2007,Libertadores,CSD Colo Colo,7,3,1,-,-,-,548,Alexis Sánchez,,,
2006,Copa Sudamericana,CSD Colo Colo,10,1,3,2,-,-,551,Alexis Sánchez,,,
2005,Libertadores,Deportes Cobreloa,3,-,-,-,-,-,70,Alexis Sánchez,,,
2023,Libertadores,Club Athletico Paranaense,2,-,-,-,-,-,194,Arturo Vidal,,,
2023,Libertadores,CR Flamengo,5,-,-,2,-,-,264,Arturo Vidal,,,
2023,Recopa Sudamericana,CR Flamengo,2,-,-,2,-,-,162,Arturo Vidal,,,
22/23,Club World Cup,CR Flamengo,2,-,-,-,-,-,99,Arturo Vidal,,,
2022,Libertadores,CR Flamengo,5,-,-,2,-,-,133,Arturo Vidal,,,
21/22,Champions League,Inter Milan,7,1,2,1,-,-,409,Arturo Vidal,,,
20/21,Champions League,Inter Milan,4,-,-,3,1,-,289,Arturo Vidal,,,
19/20,Champions League,FC Barcelona,7,-,2,3,1,-,422,Arturo Vidal,,,
18/19,Champions League,FC Barcelona,11,-,-,1,-,-,356,Arturo Vidal,,,
17/18,Champions League,Bayern Munich,8,-,-,1,-,-,475,Arturo Vidal,,,
16/17,Champions League,Bayern Munich,8,3,-,3,1,-,714,Arturo Vidal,,,
15/16,Champions League,Bayern Munich,11,2,3,3,-,-,856,Arturo Vidal,,,
14/15,Champions League,Juventus FC,12,1,-,4,-,-,1045,Arturo Vidal,,,
13/14,Europa League,Juventus FC,6,2,-,1,-,-,447,Arturo Vidal,,,
13/14,Champions League,Juventus FC,6,5,-,2,-,-,533,Arturo Vidal,,,
12/13,Champions League,Juventus FC,9,3,2,3,-,-,740,Arturo Vidal,,,
10/11,Europa League,Bayer 04 Leverkusen,7,1,-,3,-,-,407,Arturo Vidal,,,
10/11,Europa League Qualifying,Bayer 04 Leverkusen,2,1,-,1,-,-,180,Arturo Vidal,,,
07/08,UEFA Cup,Bayer 04 Leverkusen,9,-,-,1,-,-,703,Arturo Vidal,,,
2007,Libertadores,CSD Colo Colo,8,-,-,4,-,-,710,Arturo Vidal,,,
2006,Copa Sudamericana,CSD Colo Colo,12,3,-,7,-,-,1026,Arturo Vidal,,,
22/23,Champions League,Manchester City,10,2,7,1,-,-,722,Kevin De Bruyne,,,
21/22,Champions League,Manchester City,10,2,3,2,-,-,735,Kevin De Bruyne,,,
20/21,Champions League,Manchester City,8,3,4,2,-,-,669,Kevin De Bruyne,,,
19/20,Champions League,Manchester City,7,2,2,1,-,-,574,Kevin De Bruyne,,,
18/19,Champions League,Manchester City,4,-,4,-,-,-,248,Kevin De Bruyne,,,
17/18,Champions League,Manchester City,8,1,4,4,-,-,667,Kevin De Bruyne,,,
16/17,Champions League,Manchester City,6,1,1,1,-,-,539,Kevin De Bruyne,,,
16/17,Champions League Qu.,Manchester City,1,-,1,-,-,-,80,Kevin De Bruyne,,,
15/16,Champions League,Manchester City,10,3,-,1,-,-,711,Kevin De Bruyne,,,
14/15,Europa League,VfL Wolfsburg,11,5,5,2,-,-,981,Kevin De Bruyne,,,
13/14,Champions League,Chelsea FC,3,-,-,-,-,-,26,Kevin De Bruyne,,,
11/12,Champions League,KRC Genk,4,-,-,1,-,-,360,Kevin De Bruyne,,,
11/12,Champions League Qu.,KRC Genk,2,-,1,1,-,-,180,Kevin De Bruyne,,,
10/11,Europa League Qualifying,KRC Genk,3,1,1,-,-,-,173,Kevin De Bruyne,,,
09/10,Europa League Qualifying,KRC Genk,2,-,-,-,-,-,57,Kevin De Bruyne,,,
23/24,Champions League,Sevilla FC,6,-,3,-,-,-,459,Ivan Rakitić,,,
23/24,UEFA Super Cup,Sevilla FC,1,-,-,-,-,-,90,Ivan Rakitić,,,
22/23,Europa League,Sevilla FC,9,-,2,3,-,-,863,Ivan Rakitić,,,
22/23,Champions League,Sevilla FC,6,-,1,-,-,-,421,Ivan Rakitić,,,
21/22,Europa League,Sevilla FC,3,1,-,-,-,-,217,Ivan Rakitić,,,
21/22,Champions League,Sevilla FC,5,2,1,1,-,-,276,Ivan Rakitić,,,
20/21,Champions League,Sevilla FC,8,2,2,-,-,-,460,Ivan Rakitić,,,
20/21,UEFA Super Cup,Sevilla FC,1,-,1,-,-,-,56,Ivan Rakitić,,,
19/20,Champions League,FC Barcelona,7,-,1,1,-,-,345,Ivan Rakitić,,,
18/19,Champions League,FC Barcelona,12,1,2,2,-,-,1021,Ivan Rakitić,,,
17/18,Champions League,FC Barcelona,10,1,-,1,-,-,758,Ivan Rakitić,,,
16/17,Champions League,FC Barcelona,9,-,-,4,-,-,597,Ivan Rakitić,,,
15/16,Champions League,FC Barcelona,10,2,2,1,-,-,700,Ivan Rakitić,,,
15/16,Club World Cup,FC Barcelona,2,-,-,1,-,-,156,Ivan Rakitić,,,
15/16,UEFA Super Cup,FC Barcelona,1,-,-,-,-,-,120,Ivan Rakitić,,,
14/15,Champions League,FC Barcelona,12,2,1,2,-,-,886,Ivan Rakitić,,,
13/14,Europa League,Sevilla FC,14,1,2,-,-,-,1180,Ivan Rakitić,,,
13/14,Europa League Qualifying,Sevilla FC,4,2,4,-,-,-,283,Ivan Rakitić,,,
10/11,Europa League,Sevilla FC,2,-,1,-,-,-,168,Ivan Rakitić,,,
10/11,Champions League,FC Schalke 04,5,-,2,2,-,-,357,Ivan Rakitić,,,
08/09,UEFA Cup,FC Schalke 04,5,1,-,-,-,-,327,Ivan Rakitić,,,
08/09,Champions League Qu.,FC Schalke 04,2,-,-,-,-,-,167,Ivan Rakitić,,,
07/08,Champions League,FC Schalke 04,7,-,1,1,-,-,433,Ivan Rakitić,,,
06/07,UEFA Cup,FC Basel 1893,5,-,-,-,-,-,164,Ivan Rakitić,,,
06/07,UEFA-Cup Qualifikation,FC Basel 1893,4,-,-,-,-,-,126,Ivan Rakitić,,,
05/06,UEFA Cup,FC Basel 1893,1,-,-,-,-,-,14,Ivan Rakitić,,,
23/24,Champions League,Atlético de Madrid,6,5,-,1,-,-,459,Antoine Griezmann,,,
22/23,Champions League,Atlético de Madrid,6,1,1,-,-,-,405,Antoine Griezmann,,,
21/22,Champions League,Atlético de Madrid,9,4,2,-,-,1,516,Antoine Griezmann,,,
20/21,Champions League,FC Barcelona,7,2,-,1,-,-,503,Antoine Griezmann,,,
19/20,Champions League,FC Barcelona,9,2,-,2,-,-,656,Antoine Griezmann,,,
18/19,Champions League,Atlético de Madrid,8,4,2,2,-,-,720,Antoine Griezmann,,,
18/19,UEFA Super Cup,Atlético de Madrid,1,-,-,-,-,-,57,Antoine Griezmann,,,
17/18,Europa League,Atlético de Madrid,8,6,4,-,-,-,630,Antoine Griezmann,,,
17/18,Champions League,Atlético de Madrid,6,2,2,1,-,-,529,Antoine Griezmann,,,
16/17,Champions League,Atlético de Madrid,12,6,2,-,-,-,1065,Antoine Griezmann,,,
15/16,Champions League,Atlético de Madrid,13,7,1,1,-,-,1138,Antoine Griezmann,,,
14/15,Champions League,Atlético de Madrid,9,2,-,1,-,-,537,Antoine Griezmann,,,
13/14,Champions League,Real Sociedad,6,-,-,-,-,-,491,Antoine Griezmann,,,
13/14,Champions League Qu.,Real Sociedad,2,1,1,-,-,-,142,Antoine Griezmann,,,
22/23,Champions League,Manchester City,9,3,2,-,-,-,507,Riyad Mahrez,,,
21/22,Champions League,Manchester City,12,7,2,1,-,-,986,Riyad Mahrez,,,
20/21,Champions League,Manchester City,12,4,2,-,-,-,812,Riyad Mahrez,,,
19/20,Champions League,Manchester City,7,1,4,-,-,-,572,Riyad Mahrez,,,
18/19,Champions League,Manchester City,6,1,4,1,-,-,388,Riyad Mahrez,,,
16/17,Champions League,Leicester City,9,4,2,1,-,-,775,Riyad Mahrez,,,
21/22,Conference League,Leicester City,2,-,-,1,-,-,152,Jamie Vardy,,,
21/22,Europa League,Leicester City,4,-,-,-,-,-,120,Jamie Vardy,,,
20/21,Europa League,Leicester City,4,2,-,-,-,-,252,Jamie Vardy,,,
16/17,Champions League,Leicester City,9,2,1,2,-,-,768,Jamie Vardy,,,
23/24,Champions League,FC Porto,5,2,-,-,-,-,450,Pepe,,,
22/23,Champions League,FC Porto,4,-,-,-,-,-,360,Pepe,,,
21/22,Europa League,FC Porto,4,-,-,-,-,-,315,Pepe,,,
21/22,Champions League,FC Porto,5,-,-,1,-,-,349,Pepe,,,
20/21,Champions League,FC Porto,6,-,-,2,-,-,570,Pepe,,,
19/20,Europa League,FC Porto,7,-,-,2,-,-,543,Pepe,,,
19/20,Champions League Qu.,FC Porto,2,-,-,-,-,-,180,Pepe,,,
18/19,Champions League,FC Porto,3,-,-,2,-,-,300,Pepe,,,
18/19,Europa League,Besiktas JK,3,-,-,2,-,-,270,Pepe,,,
18/19,Europa League Qualifying,Besiktas JK,4,2,1,-,-,-,346,Pepe,,,
17/18,Champions League,Besiktas JK,6,-,-,2,-,-,540,Pepe,,,
16/17,Champions League,Real Madrid,3,-,-,-,-,-,199,Pepe,,,
16/17,Club World Cup,Real Madrid,-,-,-,-,-,-,-,Pepe,,,
15/16,Champions League,Real Madrid,9,-,-,2,-,-,757,Pepe,,,
14/15,Champions League,Real Madrid,6,-,1,2,-,-,540,Pepe,,,
14/15,Club World Cup,Real Madrid,2,-,-,-,-,-,180,Pepe,,,
14/15,UEFA Super Cup,Real Madrid,1,-,-,-,-,-,90,Pepe,,,
13/14,Champions League,Real Madrid,11,-,2,1,-,-,973,Pepe,,,
12/13,Champions League,Real Madrid,11,1,-,1,-,-,726,Pepe,,,
11/12,Champions League,Real Madrid,9,-,-,2,-,-,840,Pepe,,,
