Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
12/13,Copa del Rey,FC Barcelona,1,1,-,-,-,1,1,-,-,4,Lionel Messi
12/13,Supercopa,FC Barcelona,-,-,1,-,1,-,-,-,-,2,Lionel Messi
11/12,Copa del Rey,FC Barcelona,-,1,-,-,-,1,1,-,-,3,Lionel Messi
11/12,LaLiga,FC Barcelona,5,10,6,-,7,10,11,1,-,50,Lionel Messi
11/12,Champions League,FC Barcelona,1,2,4,1,3,-,2,1,-,14,Lionel Messi
11/12,Club World Cup,FC Barcelona,-,1,-,-,-,-,1,-,-,2,Lionel Messi
11/12,UEFA Super Cup,FC Barcelona,-,-,1,-,-,-,-,-,-,1,Lionel Messi
11/12,Supercopa,FC Barcelona,-,-,2,-,-,-,1,-,-,3,Lionel Messi
10/11,Champions League,FC Barcelona,-,2,3,-,2,2,2,1,-,12,Lionel Messi
10/11,LaLiga,FC Barcelona,3,5,4,-,5,4,9,1,-,31,Lionel Messi
10/11,Copa del Rey,FC Barcelona,2,-,2,-,-,3,-,-,-,7,Lionel Messi
10/11,Supercopa,FC Barcelona,-,1,1,-,-,-,-,1,-,3,Lionel Messi
09/10,LaLiga,FC Barcelona,4,4,4,-,2,7,10,3,-,34,Lionel Messi
09/10,Champions League,FC Barcelona,1,2,2,-,1,-,2,-,-,8,Lionel Messi
09/10,Club World Cup,FC Barcelona,-,-,-,-,1,-,-,-,1,2,Lionel Messi
09/10,Copa del Rey,FC Barcelona,-,-,-,-,-,1,-,-,-,1,Lionel Messi
09/10,Supercopa,FC Barcelona,-,-,-,-,1,1,-,-,-,2,Lionel Messi
08/09,Champions League,FC Barcelona,2,-,2,-,1,2,1,1,-,9,Lionel Messi
08/09,Copa del Rey,FC Barcelona,1,-,-,-,2,-,3,-,-,6,Lionel Messi
08/09,LaLiga,FC Barcelona,1,6,2,-,2,3,8,1,-,23,Lionel Messi
07/08,LaLiga,FC Barcelona,3,1,1,-,1,1,3,-,-,10,Lionel Messi
07/08,Champions League,FC Barcelona,-,1,1,-,1,1,2,-,-,6,Lionel Messi
06/07,LaLiga,FC Barcelona,1,1,5,-,3,-,3,1,-,14,Lionel Messi
06/07,Copa del Rey,FC Barcelona,-,1,1,-,-,-,-,-,-,2,Lionel Messi
06/07,Champions League,FC Barcelona,-,-,-,-,-,-,1,-,-,1,Lionel Messi
05/06,LaLiga,FC Barcelona,-,-,-,-,2,1,3,-,-,6,Lionel Messi
05/06,Copa del Rey,FC Barcelona,-,-,1,-,-,-,-,-,-,1,Lionel Messi
05/06,Champions League,FC Barcelona,-,-,1,-,-,-,-,-,-,1,Lionel Messi
04/05,LaLiga,FC Barcelona,-,-,-,-,-,-,-,1,-,1,Lionel Messi
04/05,2ª B - Grupo III,FC Barcelona B,2,1,1,-,-,1,1,-,-,6,Lionel Messi
2019,Emperor's Cup,Sagan Tosu,-,-,-,-,-,-,-,-,1,1,Fernando Torres
2019,J1 League,Sagan Tosu,-,2,-,-,-,-,-,-,-,2,Fernando Torres
2018,J1 League,Sagan Tosu,-,-,1,-,-,-,2,-,-,3,Fernando Torres
