Season,Competition,Club,1 - 15,16 - 30,31 - 45,45+,46 - 60,61 - 75,76 - 90,90+,Extra time,Total,Player
17/18,Champions League,Bayern Munich,2,-,-,-,1,-,2,-,-,5,Robert Lewandowski
17/18,DFL-Supercup,Bayern Munich,-,1,-,-,-,-,-,-,-,1,Robert Lewandowski
16/17,Bundesliga,Bayern Munich,5,5,6,-,6,1,5,2,-,30,Robert Lewandowski
16/17,Champions League,Bayern Munich,-,2,1,-,4,1,-,-,-,8,Robert Lewandowski
16/17,DFB-Pokal,Bayern Munich,2,1,2,-,-,-,-,-,-,5,Robert Lewandowski
15/16,Bundesliga,Bayern Munich,4,-,4,-,10,8,4,-,-,30,Robert Lewandowski
15/16,Champions League,Bayern Munich,1,3,-,-,1,4,-,-,-,9,Robert Lewandowski
15/16,DFB-Pokal,Bayern Munich,-,1,1,-,-,-,1,-,-,3,Robert Lewandowski
14/15,Bundesliga,Bayern Munich,4,2,4,-,1,4,1,1,-,17,Robert Lewandowski
14/15,Champions League,Bayern Munich,-,2,2,-,1,1,-,-,-,6,Robert Lewandowski
14/15,DFB-Pokal,Bayern Munich,1,1,-,-,-,-,-,-,-,2,Robert Lewandowski
13/14,Bundesliga,Borussia Dortmund,-,2,1,-,7,4,5,1,-,20,Robert Lewandowski
13/14,DFB-Pokal,Borussia Dortmund,-,-,1,-,-,-,1,-,-,2,Robert Lewandowski
13/14,Champions League,Borussia Dortmund,1,1,-,-,-,2,2,-,-,6,Robert Lewandowski
12/13,Bundesliga,Borussia Dortmund,5,3,2,1,3,3,6,1,-,24,Robert Lewandowski
12/13,Champions League,Borussia Dortmund,1,-,4,-,2,2,1,-,-,10,Robert Lewandowski
12/13,DFB-Pokal,Borussia Dortmund,-,-,-,-,-,-,1,-,-,1,Robert Lewandowski
12/13,DFL-Supercup,Borussia Dortmund,-,-,-,-,-,1,-,-,-,1,Robert Lewandowski
11/12,DFB-Pokal,Borussia Dortmund,2,1,-,1,1,-,2,-,-,7,Robert Lewandowski
11/12,Bundesliga,Borussia Dortmund,1,6,4,-,4,2,5,-,-,22,Robert Lewandowski
11/12,Champions League,Borussia Dortmund,-,1,-,-,-,-,-,-,-,1,Robert Lewandowski
10/11,Bundesliga,Borussia Dortmund,-,-,3,-,-,2,3,-,-,8,Robert Lewandowski
10/11,Europa League,Borussia Dortmund,-,-,-,-,-,-,1,-,-,1,Robert Lewandowski
09/10,Ekstraklasa,Lech Poznan,1,4,3,-,4,3,3,-,-,18,Robert Lewandowski
09/10,Europa League Qualifying,Lech Poznan,-,-,-,-,1,1,-,-,-,2,Robert Lewandowski
09/10,Superpuchar,Lech Poznan,1,-,-,-,-,-,-,-,-,1,Robert Lewandowski
08/09,Ekstraklasa,Lech Poznan,4,1,2,-,3,2,2,-,-,14,Robert Lewandowski
08/09,Fortuna Polish Cup,Lech Poznan,-,1,-,-,1,-,-,-,-,2,Robert Lewandowski
08/09,UEFA Cup,Lech Poznan,-,-,-,-,-,-,-,-,1,1,Robert Lewandowski
08/09,UEFA-Cup Qualifikation,Lech Poznan,1,-,-,-,1,-,1,-,-,3,Robert Lewandowski
07/08,Fortuna 1 Liga,Znicz Pruszkow,-,1,1,-,1,-,2,-,-,5,Robert Lewandowski
2023,Copa Argentina,CA Boca Juniors,-,-,-,-,1,-,-,-,-,1,Edinson Cavani
2023,Libertadores,CA Boca Juniors,-,1,-,-,-,-,-,-,-,1,Edinson Cavani
2023,Copa de la Liga,CA Boca Juniors,-,-,-,-,1,-,-,-,-,1,Edinson Cavani
22/23,Copa del Rey,Valencia CF,1,-,1,-,-,-,-,-,-,2,Edinson Cavani
22/23,LaLiga,Valencia CF,1,1,1,1,1,-,-,-,-,5,Edinson Cavani
21/22,Premier League,Manchester United,-,-,-,-,-,2,-,-,-,2,Edinson Cavani
20/21,Europa League,Manchester United,1,-,1,-,2,2,-,-,-,6,Edinson Cavani
20/21,Premier League,Manchester United,1,2,1,-,-,1,2,3,-,10,Edinson Cavani
20/21,EFL Cup,Manchester United,-,-,-,-,-,-,1,-,-,1,Edinson Cavani
19/20,Ligue 1,Paris Saint-Germain,-,2,1,-,-,-,1,-,-,4,Edinson Cavani
19/20,Coupe de France,Paris Saint-Germain,-,-,1,-,1,-,-,-,-,2,Edinson Cavani
19/20,Champions League,Paris Saint-Germain,-,-,-,-,-,-,1,-,-,1,Edinson Cavani
18/19,Ligue 1,Paris Saint-Germain,7,-,2,-,4,4,-,1,-,18,Edinson Cavani
18/19,Coupe de France,Paris Saint-Germain,1,-,-,-,-,-,-,-,1,2,Edinson Cavani
18/19,Coupe de la Ligue,Paris Saint-Germain,-,-,1,-,-,-,-,-,-,1,Edinson Cavani
18/19,Champions League,Paris Saint-Germain,1,-,1,-,-,-,-,-,-,2,Edinson Cavani
17/18,Coupe de France,Paris Saint-Germain,-,1,-,-,-,1,1,-,-,3,Edinson Cavani
17/18,Ligue 1,Paris Saint-Germain,3,7,4,-,2,6,5,1,-,28,Edinson Cavani
17/18,Coupe de la Ligue,Paris Saint-Germain,1,-,-,-,-,-,1,-,-,2,Edinson Cavani
17/18,Champions League,Paris Saint-Germain,-,1,3,-,-,1,2,-,-,7,Edinson Cavani
16/17,Ligue 1,Paris Saint-Germain,4,8,3,1,4,8,7,-,-,35,Edinson Cavani
16/17,Coupe de France,Paris Saint-Germain,-,-,1,-,-,-,-,1,-,2,Edinson Cavani
16/17,Coupe de la Ligue,Paris Saint-Germain,-,-,-,-,2,1,1,-,-,4,Edinson Cavani
16/17,Champions League,Paris Saint-Germain,1,1,-,-,2,3,-,1,-,8,Edinson Cavani
15/16,Coupe de France,Paris Saint-Germain,1,-,-,-,1,-,-,-,-,2,Edinson Cavani
15/16,Ligue 1,Paris Saint-Germain,3,2,2,1,5,4,1,1,-,19,Edinson Cavani
15/16,Champions League,Paris Saint-Germain,-,-,-,-,-,1,1,-,-,2,Edinson Cavani
15/16,Coupe de la Ligue,Paris Saint-Germain,-,-,-,-,-,-,1,-,-,1,Edinson Cavani
15/16,Trophée des Champions,Paris Saint-Germain,-,1,-,-,-,-,-,-,-,1,Edinson Cavani
14/15,Coupe de France,Paris Saint-Germain,1,1,-,-,1,1,-,-,-,4,Edinson Cavani
14/15,Ligue 1,Paris Saint-Germain,3,3,1,-,4,4,3,-,-,18,Edinson Cavani
14/15,Coupe de la Ligue,Paris Saint-Germain,-,-,-,-,1,-,2,-,-,3,Edinson Cavani
14/15,Champions League,Paris Saint-Germain,2,-,1,-,1,-,2,-,-,6,Edinson Cavani
13/14,Ligue 1,Paris Saint-Germain,-,2,3,1,1,3,6,-,-,16,Edinson Cavani
13/14,Coupe de la Ligue,Paris Saint-Germain,1,1,1,-,-,-,-,-,1,4,Edinson Cavani
13/14,Coupe de France,Paris Saint-Germain,-,1,-,-,-,-,-,-,-,1,Edinson Cavani
13/14,Champions League,Paris Saint-Germain,-,1,1,-,1,-,1,-,-,4,Edinson Cavani
12/13,Serie A,SSC Napoli,5,1,3,-,3,9,8,-,-,29,Edinson Cavani
12/13,Italy Cup,SSC Napoli,1,-,-,-,-,-,-,-,-,1,Edinson Cavani
12/13,Europa League,SSC Napoli,1,1,-,-,-,1,2,2,-,7,Edinson Cavani
12/13,Supercoppa Italiana,SSC Napoli,-,1,-,-,-,-,-,-,-,1,Edinson Cavani
11/12,Italy Cup,SSC Napoli,-,-,1,-,1,2,-,1,-,5,Edinson Cavani
11/12,Serie A,SSC Napoli,4,3,4,-,4,3,4,1,-,23,Edinson Cavani
11/12,Champions League,SSC Napoli,-,2,1,-,1,1,-,-,-,5,Edinson Cavani
10/11,Serie A,SSC Napoli,3,5,2,-,4,3,7,2,-,26,Edinson Cavani
10/11,Europa League,SSC Napoli,1,-,1,-,-,1,-,2,-,5,Edinson Cavani
10/11,Europa League Qualifying,SSC Napoli,-,1,1,-,-,-,-,-,-,2,Edinson Cavani
09/10,Serie A,US Palermo,1,3,4,-,-,3,1,1,-,13,Edinson Cavani
09/10,Italy Cup,US Palermo,-,-,-,-,1,1,-,-,-,2,Edinson Cavani
08/09,Serie A,US Palermo,1,-,2,1,5,2,2,1,-,14,Edinson Cavani
08/09,Italy Cup,US Palermo,-,-,-,-,-,-,1,-,-,1,Edinson Cavani
07/08,Serie A,US Palermo,2,1,1,-,-,1,-,-,-,5,Edinson Cavani
06/07,Serie A,US Palermo,-,-,-,-,1,1,-,-,-,2,Edinson Cavani
23/24,Premier League,Chelsea FC,-,1,-,-,-,-,-,-,-,1,Thiago Silva
21/22,Premier League,Chelsea FC,-,1,-,-,2,-,-,-,-,3,Thiago Silva
20/21,Premier League,Chelsea FC,1,-,-,-,-,-,1,-,-,2,Thiago Silva
19/20,Coupe de France,Paris Saint-Germain,-,-,-,-,1,-,-,-,-,1,Thiago Silva
17/18,Ligue 1,Paris Saint-Germain,-,-,-,-,-,-,1,-,-,1,Thiago Silva
16/17,Ligue 1,Paris Saint-Germain,-,-,1,-,1,-,1,-,-,3,Thiago Silva
16/17,Coupe de la Ligue,Paris Saint-Germain,-,1,-,-,-,1,-,-,-,2,Thiago Silva
16/17,Coupe de France,Paris Saint-Germain,-,1,-,-,-,-,-,-,-,1,Thiago Silva
15/16,Ligue 1,Paris Saint-Germain,-,1,-,-,-,-,-,-,-,1,Thiago Silva
14/15,Champions League,Paris Saint-Germain,-,-,-,-,-,-,-,-,1,1,Thiago Silva
14/15,Ligue 1,Paris Saint-Germain,-,-,-,-,-,1,-,-,-,1,Thiago Silva
13/14,Ligue 1,Paris Saint-Germain,2,-,-,-,1,-,-,-,-,3,Thiago Silva
12/13,Champions League,Paris Saint-Germain,-,2,-,-,-,-,-,-,-,2,Thiago Silva
12/13,Coupe de la Ligue,Paris Saint-Germain,-,1,-,-,-,-,-,-,-,1,Thiago Silva
11/12,Serie A,AC Milan,1,-,-,-,1,-,-,-,-,2,Thiago Silva
11/12,Champions League,AC Milan,-,-,-,-,-,-,-,1,-,1,Thiago Silva
10/11,Serie A,AC Milan,-,1,-,-,-,-,-,-,-,1,Thiago Silva
09/10,Serie A,AC Milan,-,1,1,-,-,-,-,-,-,2,Thiago Silva
2008,Série A,Fluminense Football Club,-,-,1,-,-,-,-,-,-,1,Thiago Silva
2008,Libertadores,Fluminense Football Club,2,-,-,-,1,-,-,-,-,3,Thiago Silva
2007,Série A,Fluminense Football Club,1,-,1,-,1,2,-,-,-,5,Thiago Silva
2004,Série A,Esporte Clube Juventude,-,-,1,-,1,1,-,-,-,3,Thiago Silva
22/23,Champions League,Real Madrid,-,-,-,-,-,-,1,-,-,1,Eden Hazard
21/22,Copa del Rey,Real Madrid,-,-,-,-,-,-,-,-,1,1,Eden Hazard
20/21,LaLiga,Real Madrid,-,-,1,1,-,-,-,1,-,3,Eden Hazard
20/21,Champions League,Real Madrid,1,-,-,-,-,-,-,-,-,1,Eden Hazard
19/20,LaLiga,Real Madrid,-,-,-,1,-,-,-,-,-,1,Eden Hazard
18/19,Europa League,Chelsea FC,-,-,-,-,-,2,-,-,-,2,Eden Hazard
18/19,Premier League,Chelsea FC,-,3,3,2,2,1,4,1,-,16,Eden Hazard
18/19,EFL Cup,Chelsea FC,-,-,1,-,-,-,2,-,-,3,Eden Hazard
17/18,FA Cup,Chelsea FC,-,1,-,-,-,-,-,-,-,1,Eden Hazard
17/18,Premier League,Chelsea FC,1,3,-,-,1,5,2,-,-,12,Eden Hazard
17/18,EFL Cup,Chelsea FC,1,-,-,-,-,-,-,-,-,1,Eden Hazard
17/18,Champions League,Chelsea FC,-,1,1,-,-,1,-,-,-,3,Eden Hazard
16/17,Premier League,Chelsea FC,4,3,2,-,4,2,1,-,-,16,Eden Hazard
16/17,FA Cup,Chelsea FC,-,-,-,-,-,1,-,-,-,1,Eden Hazard
15/16,Premier League,Chelsea FC,-,-,2,-,-,-,1,1,-,4,Eden Hazard
15/16,FA Cup,Chelsea FC,-,-,-,-,1,1,-,-,-,2,Eden Hazard
14/15,Premier League,Chelsea FC,3,4,3,1,-,2,1,-,-,14,Eden Hazard
14/15,Champions League,Chelsea FC,-,-,-,-,-,-,2,-,1,3,Eden Hazard
14/15,EFL Cup,Chelsea FC,-,2,-,-,-,-,-,-,-,2,Eden Hazard
13/14,Champions League,Chelsea FC,-,1,-,-,-,-,1,-,-,2,Eden Hazard
13/14,Premier League,Chelsea FC,-,4,3,-,2,2,2,1,-,14,Eden Hazard
13/14,UEFA Super Cup,Chelsea FC,-,-,-,-,-,-,-,-,1,1,Eden Hazard
12/13,Premier League,Chelsea FC,-,1,3,-,3,1,1,-,-,9,Eden Hazard
12/13,FA Cup,Chelsea FC,-,-,-,-,1,-,-,-,-,1,Eden Hazard
12/13,Europa League,Chelsea FC,-,-,-,-,-,-,-,1,-,1,Eden Hazard
12/13,EFL Cup,Chelsea FC,-,-,-,-,-,-,1,1,-,2,Eden Hazard
11/12,Ligue 1,LOSC Lille,2,2,3,1,4,4,4,-,-,20,Eden Hazard
11/12,Coupe de France,LOSC Lille,-,-,1,-,-,-,-,-,-,1,Eden Hazard
11/12,Trophée des Champions,LOSC Lille,-,-,-,-,1,-,-,-,-,1,Eden Hazard
10/11,Ligue 1,LOSC Lille,1,-,-,1,1,2,1,1,-,7,Eden Hazard
10/11,Coupe de France,LOSC Lille,-,-,3,-,-,-,-,-,-,3,Eden Hazard
10/11,Coupe de la Ligue,LOSC Lille,-,-,-,-,-,2,-,-,-,2,Eden Hazard
09/10,Ligue 1,LOSC Lille,-,3,2,-,-,-,-,-,-,5,Eden Hazard
09/10,Europa League,LOSC Lille,-,-,-,-,-,-,2,-,-,2,Eden Hazard
09/10,Coupe de la Ligue,LOSC Lille,-,-,-,-,-,-,-,-,1,1,Eden Hazard
09/10,Europa League Qualifying,LOSC Lille,-,-,1,-,-,1,-,-,-,2,Eden Hazard
08/09,Ligue 1,LOSC Lille,-,1,-,-,1,-,2,-,-,4,Eden Hazard
08/09,Coupe de France,LOSC Lille,-,1,1,-,-,-,-,-,-,2,Eden Hazard
2023,Série A,São Paulo Futebol Clube,-,-,-,-,-,-,1,-,,1,James Rodríguez
22/23,Super League 1,Olympiacos Piraeus,-,1,2,-,-,2,-,-,,5,James Rodríguez
21/22,Stars League,Al-Rayyan SC,-,-,1,-,-,3,-,-,,4,James Rodríguez
2022,Amir Cup,Al-Rayyan SC,-,-,-,-,-,-,-,1,,1,James Rodríguez
20/21,Premier League,Everton FC,-,1,1,-,3,1,-,-,,6,James Rodríguez
19/20,LaLiga,Real Madrid,-,-,-,-,-,-,-,1,,1,James Rodríguez
18/19,Bundesliga,Bayern Munich,1,-,1,-,3,1,1,-,,7,James Rodríguez
17/18,Bundesliga,Bayern Munich,1,2,2,-,1,-,-,1,,7,James Rodríguez
17/18,Champions League,Bayern Munich,-,-,-,-,-,1,-,-,,1,James Rodríguez
16/17,LaLiga,Real Madrid,4,1,-,1,-,1,1,-,,8,James Rodríguez
16/17,Copa del Rey,Real Madrid,1,1,1,-,-,-,-,-,,3,James Rodríguez
15/16,LaLiga,Real Madrid,1,1,2,-,1,-,1,1,,7,James Rodríguez
15/16,Champions League,Real Madrid,-,-,-,-,-,1,-,-,,1,James Rodríguez
14/15,LaLiga,Real Madrid,3,1,4,-,1,3,1,-,,13,James Rodríguez
14/15,Copa del Rey,Real Madrid,-,1,1,-,-,-,-,-,,2,James Rodríguez
14/15,Champions League,Real Madrid,-,-,1,-,-,-,-,-,,1,James Rodríguez
14/15,Supercopa,Real Madrid,-,-,-,-,-,-,1,-,,1,James Rodríguez
13/14,Ligue 1,AS Monaco,1,3,1,-,1,-,3,-,,9,James Rodríguez
13/14,Coupe de France,AS Monaco,-,-,1,-,-,-,-,-,,1,James Rodríguez
12/13,Liga Portugal,FC Porto,1,-,3,-,2,1,3,-,,10,James Rodríguez
12/13,Allianz Cup,FC Porto,-,-,-,-,1,-,-,-,,1,James Rodríguez
12/13,Champions League,FC Porto,-,-,-,-,-,-,1,-,,1,James Rodríguez
11/12,Liga Portugal,FC Porto,-,2,3,-,-,6,2,-,,13,James Rodríguez
11/12,Champions League,FC Porto,1,-,-,-,-,-,-,-,,1,James Rodríguez
10/11,Taça de Portugal,FC Porto,1,-,-,1,-,1,-,-,,3,James Rodríguez
10/11,Liga Portugal,FC Porto,-,-,1,-,-,-,1,-,,2,James Rodríguez
10/11,Europa League,FC Porto,-,-,-,-,-,-,-,1,,1,James Rodríguez
2010,Libertadores,CA Banfield,-,1,1,-,2,1,-,-,,5,James Rodríguez
09/10,Torneo Final,CA Banfield,-,-,-,-,-,-,-,1,,1,James Rodríguez
09/10,Torneo Inicial,CA Banfield,-,-,1,-,1,1,-,-,,3,James Rodríguez
08/09,Torneo Final,CA Banfield,-,-,-,-,-,1,-,-,,1,James Rodríguez
23/24,LaLiga,Real Madrid,-,-,1,-,-,-,-,-,,1,Toni Kroos
22/23,LaLiga,Real Madrid,-,-,-,-,-,1,1,-,,2,Toni Kroos
21/22,Champions League,Real Madrid,-,1,-,1,-,-,-,-,,2,Toni Kroos
21/22,LaLiga,Real Madrid,1,-,-,-,-,-,-,-,,1,Toni Kroos
20/21,LaLiga,Real Madrid,-,1,1,1,-,-,-,-,,3,Toni Kroos
19/20,LaLiga,Real Madrid,2,-,-,-,1,1,-,-,,4,Toni Kroos
19/20,Supercopa,Real Madrid,1,-,-,-,-,-,-,-,,1,Toni Kroos
19/20,Champions League,Real Madrid,-,1,-,-,-,-,-,-,,1,Toni Kroos
18/19,Champions League,Real Madrid,-,-,-,-,-,1,-,-,,1,Toni Kroos
17/18,LaLiga,Real Madrid,-,-,2,-,-,1,2,-,,5,Toni Kroos
16/17,LaLiga,Real Madrid,-,-,-,-,-,-,3,-,,3,Toni Kroos
16/17,Champions League,Real Madrid,-,-,-,-,1,-,-,-,,1,Toni Kroos
15/16,LaLiga,Real Madrid,-,-,1,-,-,-,-,-,,1,Toni Kroos
14/15,LaLiga,Real Madrid,-,1,-,-,1,-,-,-,,2,Toni Kroos
13/14,DFB-Pokal,Bayern Munich,-,-,1,-,-,-,-,-,,1,Toni Kroos
13/14,Bundesliga,Bayern Munich,1,1,-,-,-,-,-,-,,2,Toni Kroos
13/14,Champions League,Bayern Munich,-,-,-,-,1,-,-,-,,1,Toni Kroos
12/13,Champions League,Bayern Munich,1,-,-,-,-,1,1,-,,3,Toni Kroos
12/13,Bundesliga,Bayern Munich,-,1,1,-,2,1,-,1,,6,Toni Kroos
11/12,Bundesliga,Bayern Munich,-,1,1,-,1,-,1,-,,4,Toni Kroos
11/12,DFB-Pokal,Bayern Munich,-,-,-,-,1,-,-,-,,1,Toni Kroos
11/12,Champions League,Bayern Munich,2,-,-,-,-,-,-,-,,2,Toni Kroos
10/11,Bundesliga,Bayern Munich,-,-,-,-,-,-,1,-,,1,Toni Kroos
10/11,DFB-Pokal,Bayern Munich,-,-,-,-,-,-,1,-,,1,Toni Kroos
09/10,Bundesliga,Bayer 04 Leverkusen,2,3,-,-,2,1,1,-,,9,Toni Kroos
08/09,Bundesliga,Bayer 04 Leverkusen,-,-,-,-,1,-,-,-,,1,Toni Kroos
08/09,3. Liga,FC Bayern Munich II,-,-,-,-,-,-,1,-,,1,Toni Kroos
08/09,DFB-Pokal,Bayern Munich,-,-,-,-,-,-,1,-,,1,Toni Kroos
07/08,Regionalliga Süd,FC Bayern Munich II,-,1,-,-,-,1,1,-,,3,Toni Kroos
07/08,UEFA Cup,Bayern Munich,-,-,-,-,-,-,-,1,,1,Toni Kroos
06/07,U19-Bundesliga S/SW,FC Bayern Munich U19 ,1,-,1,-,1,3,1,-,,7,Toni Kroos
23/24,Champions League,SL Benfica,-,-,1,-,-,-,-,-,,1,Ángel Di María
23/24,Allianz Cup,SL Benfica,-,1,-,-,-,-,-,-,,1,Ángel Di María
23/24,Liga Portugal,SL Benfica,-,2,2,-,-,1,-,-,,5,Ángel Di María
23/24,Supertaça,SL Benfica,-,-,-,-,-,1,-,-,,1,Ángel Di María
22/23,Europa League,Juventus FC,1,1,-,-,1,-,1,-,,4,Ángel Di María
22/23,Serie A,Juventus FC,-,2,1,-,-,1,-,-,,4,Ángel Di María
21/22,Ligue 1,Paris Saint-Germain,-,1,-,-,-,1,3,-,,5,Ángel Di María
20/21,Ligue 1,Paris Saint-Germain,-,2,-,1,1,1,-,-,,5,Ángel Di María
20/21,Champions League,Paris Saint-Germain,1,-,-,-,-,-,-,-,,1,Ángel Di María
19/20,Champions League,Paris Saint-Germain,1,-,2,-,-,-,-,-,,3,Ángel Di María
19/20,Ligue 1,Paris Saint-Germain,2,2,3,-,-,1,-,-,,8,Ángel Di María
19/20,Coupe de la Ligue,Paris Saint-Germain,-,-,-,-,1,-,-,-,,1,Ángel Di María
19/20,Trophée des Champions,Paris Saint-Germain,-,-,-,-,-,1,-,-,,1,Ángel Di María
18/19,Ligue 1,Paris Saint-Germain,2,-,2,1,4,2,1,-,,12,Ángel Di María
18/19,Coupe de France,Paris Saint-Germain,1,1,-,-,-,-,1,-,,3,Ángel Di María
18/19,Champions League,Paris Saint-Germain,-,-,1,-,-,-,-,1,,2,Ángel Di María
18/19,Trophée des Champions,Paris Saint-Germain,-,-,1,-,-,-,-,1,,2,Ángel Di María
17/18,Ligue 1,Paris Saint-Germain,3,4,1,-,2,1,-,-,,11,Ángel Di María
17/18,Coupe de la Ligue,Paris Saint-Germain,-,2,-,-,-,-,-,-,,2,Ángel Di María
17/18,Coupe de France,Paris Saint-Germain,1,1,-,1,2,2,-,-,,7,Ángel Di María
17/18,Champions League,Paris Saint-Germain,-,-,-,-,-,-,1,-,,1,Ángel Di María
16/17,Ligue 1,Paris Saint-Germain,1,1,1,-,2,-,1,-,,6,Ángel Di María
16/17,Coupe de la Ligue,Paris Saint-Germain,-,1,1,-,-,-,1,-,,3,Ángel Di María
16/17,Champions League,Paris Saint-Germain,-,1,1,-,1,-,-,1,,4,Ángel Di María
16/17,Coupe de France,Paris Saint-Germain,-,-,-,-,-,-,1,-,,1,Ángel Di María
15/16,Coupe de la Ligue,Paris Saint-Germain,-,-,-,-,-,2,-,-,,2,Ángel Di María
15/16,Ligue 1,Paris Saint-Germain,1,1,-,-,2,4,2,-,,10,Ángel Di María
15/16,Champions League,Paris Saint-Germain,2,-,-,-,-,1,-,-,,3,Ángel Di María
14/15,FA Cup,Manchester United,-,-,-,-,-,-,1,-,,1,Ángel Di María
14/15,Premier League,Manchester United,-,3,-,-,-,-,-,-,,3,Ángel Di María
13/14,Copa del Rey,Real Madrid,1,1,-,-,1,1,-,-,,4,Ángel Di María
13/14,LaLiga,Real Madrid,-,2,-,-,1,1,-,-,,4,Ángel Di María
13/14,Champions League,Real Madrid,-,-,-,-,-,2,1,-,,3,Ángel Di María
12/13,LaLiga,Real Madrid,-,2,3,-,-,1,-,1,,7,Ángel Di María
12/13,Copa del Rey,Real Madrid,-,-,-,-,-,1,-,-,,1,Ángel Di María
12/13,Supercopa,Real Madrid,-,-,-,-,-,-,1,-,,1,Ángel Di María
11/12,Champions League,Real Madrid,-,-,-,-,1,-,1,-,,2,Ángel Di María
11/12,LaLiga,Real Madrid,-,1,1,-,1,2,-,-,,5,Ángel Di María
10/11,Champions League,Real Madrid,-,-,-,-,-,1,2,-,,3,Ángel Di María
10/11,LaLiga,Real Madrid,-,-,2,-,3,-,1,-,,6,Ángel Di María
09/10,Liga Portugal,SL Benfica,-,1,1,-,1,-,2,-,,5,Ángel Di María
09/10,Europa League,SL Benfica,1,-,1,-,-,1,-,-,,3,Ángel Di María
09/10,Allianz Cup,SL Benfica,-,-,-,-,-,-,1,-,,1,Ángel Di María
09/10,Europa League Qualifying,SL Benfica,-,-,1,-,-,-,-,-,,1,Ángel Di María
08/09,Liga Portugal,SL Benfica,1,-,-,-,-,-,1,-,,2,Ángel Di María
08/09,Allianz Cup,SL Benfica,-,-,-,-,-,-,1,-,,1,Ángel Di María
08/09,UEFA Cup,SL Benfica,-,-,-,-,1,-,-,-,,1,Ángel Di María
07/08,UEFA Cup,SL Benfica,-,-,-,-,-,-,-,1,,1,Ángel Di María
06/07,Torneo Final,CA Rosario Central,-,1,3,-,-,-,1,-,,5,Ángel Di María
06/07,Torneo Inicial,CA Rosario Central,-,-,-,-,1,-,-,-,,1,Ángel Di María
2023,Série A,Botafogo de Futebol e Regatas,2,-,-,-,1,-,-,-,,3,Diego Costa
22/23,Premier League,Wolverhampton Wanderers,-,1,-,-,-,-,-,-,,1,Diego Costa
2021,Série A,Clube Atlético Mineiro,1,-,1,-,-,-,2,-,,4,Diego Costa
2021,Copa do Brasil,Clube Atlético Mineiro,-,-,-,-,1,-,-,-,,1,Diego Costa
20/21,LaLiga,Atlético de Madrid,1,-,-,-,-,-,1,-,,2,Diego Costa
19/20,LaLiga,Atlético de Madrid,-,1,2,-,-,2,-,-,,5,Diego Costa
18/19,LaLiga,Atlético de Madrid,1,-,-,-,-,-,1,-,,2,Diego Costa
18/19,Champions League,Atlético de Madrid,-,-,1,-,-,-,-,-,,1,Diego Costa
18/19,UEFA Super Cup,Atlético de Madrid,1,-,-,-,-,-,1,-,,2,Diego Costa
17/18,Europa League,Atlético de Madrid,-,-,-,1,1,-,-,-,,2,Diego Costa
17/18,LaLiga,Atlético de Madrid,-,1,-,-,-,1,1,-,,3,Diego Costa
17/18,Copa del Rey,Atlético de Madrid,-,-,-,-,-,2,-,-,,2,Diego Costa
16/17,FA Cup,Chelsea FC,-,-,-,-,-,-,2,-,,2,Diego Costa
16/17,Premier League,Chelsea FC,1,2,3,1,4,2,7,-,,20,Diego Costa
15/16,Premier League,Chelsea FC,2,2,2,1,-,4,-,1,,12,Diego Costa
15/16,Champions League,Chelsea FC,-,1,-,-,1,-,-,-,,2,Diego Costa
15/16,FA Cup,Chelsea FC,1,-,1,-,-,-,-,-,,2,Diego Costa
14/15,Premier League,Chelsea FC,4,3,3,-,3,5,2,-,,20,Diego Costa
14/15,EFL Cup,Chelsea FC,-,-,-,-,1,-,-,-,,1,Diego Costa
13/14,Champions League,Atlético de Madrid,1,1,1,-,1,1,3,-,,8,Diego Costa
13/14,LaLiga,Atlético de Madrid,2,4,5,-,3,8,4,1,,27,Diego Costa
13/14,Copa del Rey,Atlético de Madrid,-,-,-,-,-,-,1,-,,1,Diego Costa
12/13,LaLiga,Atlético de Madrid,1,1,1,-,4,1,1,1,,10,Diego Costa
12/13,Copa del Rey,Atlético de Madrid,1,2,2,-,1,1,1,-,,8,Diego Costa
12/13,Europa League,Atlético de Madrid,-,-,1,-,1,-,-,-,,2,Diego Costa
11/12,LaLiga,Rayo Vallecano,1,-,2,-,-,5,2,-,,10,Diego Costa
10/11,LaLiga,Atlético de Madrid,-,1,1,-,1,3,-,-,,6,Diego Costa
10/11,Copa del Rey,Atlético de Madrid,-,-,-,-,1,-,-,-,,1,Diego Costa
10/11,Europa League,Atlético de Madrid,-,-,-,-,-,-,1,-,,1,Diego Costa
09/10,LaLiga,Real Valladolid CF,-,2,1,-,4,1,-,-,,8,Diego Costa
09/10,Copa del Rey,Real Valladolid CF,-,-,-,-,-,-,1,-,,1,Diego Costa
08/09,LaLiga2,Albacete Balompié,2,2,-,-,1,1,3,-,,9,Diego Costa
07/08,LaLiga2,Celta de Vigo,2,-,-,-,1,-,3,-,,6,Diego Costa
06/07,UEFA Cup,SC Braga,-,-,-,-,-,-,1,-,,1,Diego Costa
06/07,Liga Sabseg,FC Penafiel,-,-,2,-,1,1,1,-,,5,Diego Costa
23/24,DFB-Pokal,Eintracht Frankfurt,-,-,-,-,1,-,-,-,,1,Mario Götze
22/23,Bundesliga,Eintracht Frankfurt,2,-,-,-,1,-,-,-,,3,Mario Götze
21/22,Eredivisie,PSV Eindhoven,1,-,-,-,2,1,-,-,,4,Mario Götze
